"REL_CTGRY_TXT","TBL_NM","ATT_NM","UPDT_VAL_TXT","ACTIVE_FLG"
"GDPR12","BANK_ACCT","ACCT_WRDNG_TXT","***",Y
"GDPR12","BANK_ACCT","BANK_ACCT_TXT","",1
"GDPR12","BNFTS_DCSN","BNFTS_DCSN_NOTE_TXT","",1
"GDPR12","CMMNCTN","CMMNCTN_ANOTATN_TXT","",1
"GDPR12","CMMNCTN","CMMNCTN_ID_TXT","",1
"GDPR12","CMMNCTN_USE","CMMNCTN_USE_TXT","",1
"GDPR12","CNSLT","CNSLT_NOTE_TXT","",1
"GDPR12","COMPLAINT","COMPLAINT_SUBJ_DESC","",1
"GDPR12","DOC","DOC_CLSFCTN_AD_TXT","",1
"GDPR12","DOC","DOC_CLSFCTN_TXT","",1
"GDPR12","DOC","DOC_DESC","",1
"GDPR12","DOC","ENVLP_ID_TXT","",1
"GDPR12","DOC","ENVLP_PART_TXT","",1
"GDPR12","DOC","FILE_NM","",1
"GDPR12","DOC","INDXNG_NOTE_TXT","",1
"GDPR12","DOC","SNDR_OR_RCPNT_NM","",1
"GDPR12","DOC","SUBJ_NM","",1
"GDPR12","FRGN_TAX_ID","FRGN_TAX_NO","",1
"GDPR12","HLTH_STTS","HLTH_STTS_DESC","",1
"GDPR12","ID_DOC","ID_NO","",1
"GDPR12","NAT_PRSN","ANNUT_NO","",1
"GDPR12","NAT_PRSN","BIRTH_DT","",1
"GDPR12","NAT_PRSN","BIRTH_NM","",1
"GDPR12","NAT_PRSN","FIRST_NM","",1
"GDPR12","NAT_PRSN","FIRST_PRSNL_INTEREST_CD","",1
"GDPR12","NAT_PRSN","INTEREST_DESC","",1
"GDPR12","NAT_PRSN","LAST_NM","",1
"GDPR12","NAT_PRSN","MDDL_NM","",1
"GDPR12","NAT_PRSN","SCND_PRSNL_INTEREST_CD","",1
"GDPR12","NAT_PRSN","SOCIAL_SCRTY_NO","",1
"GDPR12","NAT_PRSN","TAX_ID_NO","",1
"GDPR12","NAT_PRSN","THRD_PRSNL_INTEREST_CD","",1
"GDPR12","NPS","NPS_DSGNTN_TXT","",1
"GDPR12","NPS","NPS_SCND_CALL_RSLT_DESC","",1
"GDPR12","OCC_DESC","OCC_ENTR_DESC","",1
"GDPR12","PRSN","LETTER_SALUTN_TXT","",1
"GDPR12","PRSN","NM_EXTNSN_MGRTN_TXT","",1
"GDPR12","PRSN_ADDR_UNSTR","FIRST_ADDR_LN_TXT","",1
"GDPR12","PRSN_ADDR_UNSTR","FOURTH_ADDR_LN_TXT","",1
"GDPR12","PRSN_ADDR_UNSTR","SCND_ADDR_LN_TXT","",1
"GDPR12","PRSN_ADDR_UNSTR","THRD_ADDR_LN_TXT","",1
"GDPR12","PRSN_ASSMNT","PRSN_ASSMNT_DESC","",1
"GDPR12","PRSN_ASSMNT_GNRC_DTL","VAL_DT","",1
"GDPR12","PRSN_ASSMNT_GNRC_DTL","VAL_TXT","",1
"GDPR12","PRSN_ASSMNT_GNRC_DTL","VAL_WHOLE_NO","",1
"GDPR12","PRSN_GNRC_DTL","VAL_DT","",1
"GDPR12","PRSN_GNRC_DTL","VAL_TXT","",1
"GDPR12","PRSN_GNRC_DTL","VAL_WHOLE_NO","",1
"GDPR12","PRSN_TO_PRSN_REL","ID_TXT","",1
"GDPR12","SEPA_MANDT","INITL_RGSTR_REF_TXT","",1
"GDPR12","SEPA_MANDT","MANDT_REF_TXT","",1
"GDPR12","TP_CNTRCT","INS_PRPRTY_DESC","",1
"GDPR12","WEB_PORTAL_GNRC_DTL","VAL_DT","",1
"GDPR12","WEB_PORTAL_GNRC_DTL","VAL_TXT","",1
"GDPR12","WEB_PORTAL_GNRC_DTL","VAL_WHOLE_NO","",1
